cell line	cellosaurus name	cellosaurus accession	bto cell line	organism	organism part	sampling site	age	developmental stage	sex	ancestry category	disease	cell type	Material type	synonyms	curated
LN-428	LN-428	CVCL_3959	LN-428 cell	Homo Sapiens	Brain	Left temporal lobe	48Y	Adult	Male	not available	Glioblastoma	not available	cell	LN428; LN428 CELL; LN 428	curated
LN-443	LN-443	CVCL_3960	LN-443 cell	Homo Sapiens	Brain	Left parietal lobe	48Y	Adult	not available	Caucasian	Glioblastoma	not available	cell	LN443 CELL; LN 443; LN443	curated
LN-444	LN-444	CVCL_3961	LN-444 cell	Homo Sapiens	Brain	Left parietal lobe	48Y	Adult	not available	Caucasian	Glioblastoma	not available	cell	LN444; LN 444; LN444 CELL	curated
LN-464	LN-464	CVCL_3962	LN-464 cell	Homo Sapiens	Brain	not available	not available	not available	not available	Caucasian	Glioblastoma; Melanoma	not available	cell	LN 464; LN464; LN464 CELL	curated
NCI-H125	NCI-H125	CVCL_3968	NCI-H125 cell	Homo Sapiens	Lung	Hypodermis	61Y	Adult	Male	African American	Lung adenosquamous carcinoma	not available	cell	NCI-HUT 125; HUT 125; HUT125 CELL; NCI-HUT-125 CELL; H125; H-125; HUT-125 CELL; H125 CELL; NCI-HUT 125 CELL; HUT-125; HUT125; NCI-HUT-125; H-125 CELL	curated
KKU-100	KKU-100	CVCL_3996	KKU-100 cell	Homo Sapiens	Biliary Tract	Liver	65Y	Elderly	Female	Southeast Asian; Thai	Opisthorchis viverrini-related cholangiocarcinoma; Biliary tract carcinoma	not available	cell	K100; KKU100	curated
T3M-4	T3M-4	CVCL_4056	T3M4 cell	Homo Sapiens	Pancreas	Lymph node	64Y	Adult	Male	Japanese	Pancreatic ductal adenocarcinoma	not available	cell	PANC 89; T3M4; PANC89; PANC-89	curated
HuH-6	HuH-6	CVCL_4381	HuH-6 cell	Homo Sapiens	Liver	Liver	1Y	Infant	Male	Japanese	Hepatoblastoma	not available	cell	HUH6 CELL; HUH-6; HUH 6; HUH6	curated
TMK-1	TMK-1	CVCL_4384	TMK-1 cell	Homo Sapiens	Stomach	Lymph node	21Y	Adult	Male	Japanese	Gastric adenocarcinoma	not available	cell	TMK1; TMK1 CELL	curated
hTERT-RPE-1	hTERT-RPE1	CVCL_4388	hTERT-RPE1 cell	Homo Sapiens	Eye	Retinal pigment epithelium; Retina	1Y	Infant	Female	not available	Non-cancerous	retinal pigment epithelial cell	cell	HTERT RPE1; HTERT-RPE; HTERT RPE-1; RPE1; RPE-HTERT; HTERT-RPE-1; RPE-1; HTERT-RPE-1 CELL; RPE-1 CELL; RPE1 CELL; TERT-RPE1; RPE1-HTERT	curated
RERF-LC-AI	RERF-LC-A1	CVCL_4402	RERF-LC-AI cell	Homo Sapiens	Lung	Pleural effusion	not available	not available	Male	Japanese	Squamous cell lung carcinoma	not available	cell	RERF-LC-A1 CELL; RADIATION EFFECTS RESEARCH FOUNDATION-LUNG CANCER-AI; AOI; RERF-LCAI; RERF-LC-AI; RERFLCAI; LC-AI CELL; RERF-LC-A1	curated
MCC14-1	MCC14/1	CVCL_4447	not available	Homo Sapiens	Skin	Iliac lymph node; Iliac node (groin)	80Y	Elderly	Male	not available	Merkel cell carcinoma	not available	cell	MCC14-1; MCC14/1TC; MCC14/1 TC	curated
TE-2	TE-2	CVCL_4455	TE-2 cell	Homo Sapiens	Esophagus	not available	not available	not available	Male	Japanese	Esophageal squamous cell carcinoma	not available	cell	TE2; TE2 CELL	curated
TE-13	TE-13	CVCL_4463	TE-13 cell	Homo Sapiens	Esophagus	not available	not available	not available	Male	Japanese	Esophageal squamous cell carcinoma	not available	cell	TE13 CELL; TE13	curated
BDCM	BDCM	CVCL_4613	not available	Homo Sapiens	Blood	Peripheral blood	not available	not available	Male	Caucasian	B-cell acute lymphoblastic leukemia	B cell	cell	B-CELL WITH DC MORPHOLOGY	curated
JHOC-5	JHOC-5	CVCL_4640	not available	Homo Sapiens	Ovary	Ovary	47Y	Adult	Female	Japanese	Ovarian clear cell adenocarcinoma	not available	cell	JHOC5	curated
JHOM-1	JHOM-1	CVCL_4644	not available	Homo Sapiens	Ovary	Ovary	88Y	Elderly	Female	Japanese	Ovarian mucinous adenocarcinoma	not available	cell	JHOM1	curated
JHOM-2B	JHOM-2B	CVCL_4645	not available	Homo Sapiens	Ovary	Ovary	56Y	Adult	Female	Japanese	Ovarian mucinous adenocarcinoma	not available	cell	JHOM2B	curated
JHOS-2	JHOS-2	CVCL_4647	not available	Homo Sapiens	Ovary	Lymph node	45Y	Adult	Female	Japanese	High grade ovarian serous adenocarcinoma	not available	cell	JHOS2	curated
JHOS-3	JHOS-3	CVCL_4648	not available	Homo Sapiens	Ovary	Lymph node	48Y	Adult	Female	Japanese	Ovarian serous adenocarcinoma	not available	cell	JHOS3	curated
JHOS-4	JHOS-4	CVCL_4649	not available	Homo Sapiens	Ovary	Peritoneum	44Y	Adult	Female	Japanese	High grade ovarian serous adenocarcinoma	not available	cell	JHOS4	curated
JHUEM-1	JHUEM-1	CVCL_4655	not available	Homo Sapiens	Endometrium	Endometrium	56Y	Adult	Female	Japanese	Endometrial adenocarcinoma	not available	cell	JHUEM1	curated
JHUEM-2	JHUEM-2	CVCL_4656	not available	Homo Sapiens	Endometrium	Endometrium	62Y	Adult	Female	Japanese	Endometrial adenocarcinoma	not available	cell	JHUEM2	curated
JHUEM-3	JHUEM-3	CVCL_4657	not available	Homo Sapiens	Endometrium	Endometrium	60Y	Adult	Female	Japanese	Endometrial adenocarcinoma	not available	cell	JHUEM3	curated
JHUEM-7	JHUEM-7	CVCL_4658	not available	Homo Sapiens	Endometrium	Endometrium	58Y	Adult	Female	Japanese	Endometrial adenocarcinoma	not available	cell	JHUEM7	curated
PCM6	PCM6	CVCL_4666	not available	Homo Sapiens	Blood	Peripheral blood	60Y	Adult	Female	Japanese	Plasma cell myeloma	not available	cell	PCM-6	curated
PK-1	PK-1	CVCL_4717	PK-1 cell	Homo Sapiens	Pancreas	Liver	not available	not available	not available	Japanese	Pancreatic ductal adenocarcinoma	not available	cell	PK1	curated
PK-8	PK-8	CVCL_4718	PK-8 cell	Homo Sapiens	Pancreas	Liver	not available	not available	not available	Japanese	Pancreatic ductal adenocarcinoma	not available	cell	PK8	curated
MDA-PCa-2a	MDA-PCa-2a	CVCL_4747	not available	Homo Sapiens	Prostate	Bone	63Y	Adult	Male	African American	Prostate carcinoma	not available	cell	MDA PCA 2A; M.D. ANDERSON-PROSTATE CANCER-2A; MDAPC2A; MDA2A	curated
MDA-PCa-2b	MDA-PCa-2b	CVCL_4748	MDA-PCa-2b cell	Homo Sapiens	Prostate	Bone	63Y	Adult	Male	African American	Prostate carcinoma	not available	cell	MDA PCA 2B CELL; MDAPCA2B; MDAPC2B; MDA2B; MDAPCA-2B; MDA PCA 2B; M.D. ANDERSON-PROSTATE CANCER-2B	curated
U-343-MGa	U-343MGa	CVCL_4773	U-343MG-A cell	Homo Sapiens	Brain	Temporal lobe	64Y	Adult	Male	Caucasian	Glioblastoma	not available	cell	U343; U-343-MG-A CELL; U343 MGA; U-343 MGA; U-343 MG-A; U-343 CELL; U343 CELL; U-343 MG-A CELL; U343 MG-A CELL; U343MGA; U343-MG-A CELL; U-343-MG-A; U343-MG-A	curated
HuG1	HuG-1	CVCL_4845	not available	Homo Sapiens	Stomach	Ascites	55Y	Adult	Male	Japanese	Gastric tubular adenocarcinoma	not available	cell	HUG	curated
HuG1-N	HuG1-N	CVCL_4846	not available	Homo Sapiens	Stomach	Ascites	55Y	Adult	Male	Japanese	Gastric tubular adenocarcinoma	not available	cell	HUG-1N; HUG1N	curated
HuG1-PI	HuG1-PI	CVCL_4847	not available	Homo Sapiens	Stomach	Ascites	55Y	Adult	Male	Japanese	Gastric tubular adenocarcinoma	not available	cell	HuG1-PI	curated
LMSU	LMSU	CVCL_4849	not available	Homo Sapiens	Stomach	Lymph node	27Y	Adult	Female	Japanese	Gastric carcinoma	not available	cell	LMSU	curated
RBE	RBE	CVCL_4896	not available	Homo Sapiens	Biliary Tract	Liver	64Y	Adult	Female	Japanese	Intrahepatic cholangiocarcinoma	not available	cell	RBE	curated
PK-59	PK-59	CVCL_4897	PK-59 cell	Homo Sapiens	Pancreas	Liver	66Y	Elderly	not available	Japanese	Pancreatic carcinoma	not available	cell	PK59 CELL; PK59	curated
Sq-1	Sq-1	CVCL_4900	not available	Homo Sapiens	Lung	not available	not available	not available	not available	Japanese	Squamous cell lung carcinoma	not available	cell	SQ1; SQ-1	curated
SSP-25	SSP-25	CVCL_4902	not available	Homo Sapiens	Biliary Tract	Ascites	61Y	Adult	Female	Japanese	Intrahepatic cholangiocarcinoma	not available	cell	SSP25	curated
MHCC97-H	MHCC97-H	CVCL_4972	MHCC97-H cell	Homo Sapiens	not available	not available	39Y	Adult	Male	Chinese	Adult hepatocellular carcinoma	not available	cell	MHCC-97H; MHCC 97-H; MHCC97H CELL; MHCC97H; MHCC-97H CELL; MHCC 97-H CELL	curated
MHCC97-L	MHCC97-L	CVCL_4973	MHCC97-L cell	Homo Sapiens	not available	not available	39Y	Adult	Male	Chinese	Adult hepatocellular carcinoma	not available	cell	MHCC-97L CELL; MHCC97L; MHCC 97-L CELL; MHCC97LCELL; MHCC 97-L	curated
U-CH2	U-CH2	CVCL_4989	not available	Homo Sapiens	Bone	Sacral bone	72Y	Elderly	Female	Caucasian	Sacral chordoma	not available	cell	UCH-2; UCH2	curated
MS751	MS751	CVCL_4996	not available	Homo Sapiens	Cervix	Lymph node	47Y	Adult	Female	Caucasian	Human papillomavirus-related squamous cell carcinoma	not available	cell	MS-751; MS 751	curated
MP46	MP46	CVCL_4D13	not available	Homo Sapiens	Eye	Uvea	69Y	Elderly	not available	not available	Uveal melanoma	not available	cell	MP46	curated
SKG-I-TS	SKG-I/TS	CVCL_4J75	not available	Homo Sapiens	Cervix	Cervix	40Y	Adult	Female	Japanese	Human papillomavirus-related squamous cell carcinoma	not available	cell	SKG-I-TS	curated
SKG-II-LUC	SKG-II/LUC	CVCL_4J76	not available	Homo Sapiens	Cervix	Cervix	50Y	Adult	Female	Japanese	Human papillomavirus-related squamous cell carcinoma	not available	cell	SKG-II/LUCIFERASE; SKG-II-LUC	curated
SKG-II-TS	SKG-II/TS	CVCL_4J77	not available	Homo Sapiens	Cervix	Cervix	50Y	Adult	Female	Japanese	Human papillomavirus-related squamous cell carcinoma	not available	cell	SKG-II-TS	curated
JMU-RTK-2	JMU-RTK-2	CVCL_4W58	not available	Homo Sapiens	Soft Tissue	Spinal fluid; Cerebrospinal fluid	4M	not available	not available	Japanese	Rhabdoid tumor of the kidney	not available	cell	JMURTK2	curated
NP-8	NP-8	CVCL_4W66	not available	Homo Sapiens	Brain	Left temporal lobe	38Y	Adult	Female	Japanese	Glioblastoma	not available	cell	CASE 1; NP8; NP 8	curated
Onda-7	Onda 7	CVCL_4W67	not available	Homo Sapiens	Brain	Right temporal lobe	51Y	Adult	Male	Japanese	Glioblastoma	not available	cell	ONDA7; ONDA-7; CASE 9	curated
ONDA8	Onda 8	CVCL_4W68	not available	Homo Sapiens	Brain	Parietal lobe	31Y	Adult	Female	Japanese	Glioblastoma	not available	cell	ONDA-8; CASE 8; ONDA8	curated
Onda-9R	Onda 9R	CVCL_4W69	not available	Homo Sapiens	Brain	Brain	58Y	Adult	Male	Japanese	Glioblastoma	not available	cell	ONDA-9R	curated
Onda-9R-B12	Onda 9R-B12	CVCL_4W70	not available	Homo Sapiens	Brain	Brain	58Y	Adult	Male	Japanese	Glioblastoma	not available	cell	ONDA-9R-B12	curated
TC-138	TC-138	CVCL_4Z30	not available	Homo Sapiens	Bone	not available	not available	not available	not available	not available	Ewing sarcoma	not available	cell	TC138	curated
TC-205	TC-205	CVCL_4Z31	not available	Homo Sapiens	Bone	not available	not available	not available	not available	not available	Ewing sarcoma	not available	cell	TC205	curated
SNU-1033	SNU-1033	CVCL_5002	not available	Homo Sapiens	Large Intestine	Rectum	45Y	Adult	Female	Korean	Colorectal carcinoma	not available	cell	SNU1033	curated
SNU-1040	SNU-1040	CVCL_5003	not available	Homo Sapiens	Colon	Colon	34Y	Adult	Male	Korean	Colon adenocarcinoma	not available	cell	NCI-SNU-1040; SNU1040	curated
SNU-1066	SNU-1066	CVCL_5005	SNU-1066 cell	Homo Sapiens	Head and Neck	Larynx (glottic); Larynx	62Y	Adult	Male	Korean	Laryngeal squamous cell carcinoma	not available	cell	SNU1066 CELL; SNU 1066 CELL; SNU1066	curated
SNU-1076	SNU-1076	CVCL_5006	SNU-1076 cell	Homo Sapiens	Head and Neck	Larynx; Larynx (subglottic)	60Y	Adult	Male	Korean	Laryngeal squamous cell carcinoma	not available	cell	NCI-SNU-1076; SNU 1076 CELL; SNU1076 CELL; SNU1076	curated
SNU-1077	SNU-1077	CVCL_5007	not available	Homo Sapiens	Uterus	Endometrium	60Y	Adult	Female	Korean	Uterine carcinosarcoma	not available	cell	SNU1077	curated
SNU-1079	SNU-1079	CVCL_5008	not available	Homo Sapiens	Biliary Tract	Liver; Intrahepatic bile duct	not available	not available	not available	Korean	Intrahepatic cholangiocarcinoma	not available	cell	SNU 1079; NCI-SNU-1079; SNU1079	curated
SNU-1105	SNU-1105	CVCL_5010	not available	Homo Sapiens	Brain	Brain	61Y	Adult	Male	Korean	Glioblastoma	not available	cell	NCI-SNU-1105; SNU1105	curated
SNU-1118	SNU-1118	CVCL_5011	not available	Homo Sapiens	Brain	Brain	5Y	Children	Male	Korean	Primitive neuroectodermal tumor	not available	cell	SNU1118	curated
SNU-119	SNU-119	CVCL_5014	not available	Homo Sapiens	Ovary	Ascites	50Y	Adult	Female	Korean	High grade ovarian serous adenocarcinoma	not available	cell	NCI-SNU-119; SNU119	curated
SNU-1196	SNU-1196	CVCL_5015	not available	Homo Sapiens	Biliary Tract	Common hepatic duct	not available	not available	not available	Korean	Hilar cholangiocarcinoma	not available	cell	SNU1196	curated
SNU-1197	SNU-1197	CVCL_5016	not available	Homo Sapiens	Colon	Colon	70Y	Elderly	Male	Korean	Colon adenocarcinoma	not available	cell	SNU1197	curated
SNU-1214	SNU-1214	CVCL_5017	SNU-1214 cell	Homo Sapiens	Head and Neck	Larynx (glottic); Larynx	55Y	Adult	Male	Korean	Laryngeal squamous cell carcinoma	not available	cell	SNU1214 CELL; NCI-SNU-1214; SNU 1214 CELL; SNU1214	curated
SNU-1544	SNU-1544	CVCL_5027	not available	Homo Sapiens	Large Intestine	Ascending; Ascending colon; Colon	38Y	Adult	Female	Korean	Colon adenocarcinoma	not available	cell	SNU1544	curated
SNU-175	SNU-175	CVCL_5031	not available	Homo Sapiens	Large Intestine	Peritoneum	56Y	Adult	Female	Korean	Colon adenocarcinoma	not available	cell	SNU175; NCI-SNU-175	curated
SNU-201	SNU-201	CVCL_5033	not available	Homo Sapiens	Brain	Brain	58Y	Adult	Male	Korean	Glioblastoma	not available	cell	SNU201; NCI-SNU-201	curated
SNU-213	SNU-213	CVCL_5034	not available	Homo Sapiens	Pancreas	Pancreas	65Y	Elderly	Male	Korean	Pancreatic adenocarcinoma	not available	cell	NCI-SNU-213; SNU213	curated
SNU-245	SNU-245	CVCL_5038	not available	Homo Sapiens	Biliary Tract	Common bile duct	not available	not available	not available	Korean	Cholangiocarcinoma	not available	cell	NCI-SNU-245; SNU245	curated
SNU-283	SNU-283	CVCL_5044	not available	Homo Sapiens	Large Intestine	Omentum	62Y	Adult	Female	Korean	Colorectal carcinoma	not available	cell	NCI-SNU-283; SNU283	curated
SNU-308	SNU-308	CVCL_5048	not available	Homo Sapiens	Biliary Tract	Gallbladder	not available	not available	not available	Korean	Bladder carcinoma	not available	cell	SNU308; NCI-SNU-308	curated
SNU-324	SNU-324	CVCL_5051	not available	Homo Sapiens	Pancreas	Pancreas	50Y	Adult	Male	Korean	Pancreatic adenocarcinoma	not available	cell	SNU324; NCI-SNU-324	curated
SNU-349	SNU-349	CVCL_5054	not available	Homo Sapiens	Kidney	Kidney	68Y	Elderly	Male	Korean	Clear cell renal cell carcinoma	not available	cell	SNU349; NCI-SNU-349	curated
SNU-407	SNU-407	CVCL_5058	not available	Homo Sapiens	Large Intestine	Buttock	37Y	Adult	Male	Korean	Colon adenocarcinoma	not available	cell	SNU407; NCI-SNU-407	curated
SNU-410	SNU-410	CVCL_5059	not available	Homo Sapiens	Pancreas	Liver	53Y	Adult	Male	Korean	Pancreatic adenocarcinoma	not available	cell	NCI-SNU-410; SNU410	curated
SNU-46	SNU-46	CVCL_5063	SNU-46 cell	Homo Sapiens	Larynx	Larynx	65Y	Elderly	Male	Korean	Laryngeal squamous cell carcinoma	not available	cell	SNU46 CELL; SNU 46 CELL; SNU46	curated
SNU-466	SNU-466	CVCL_5064	not available	Homo Sapiens	Brain	Brain	61Y	Adult	Male	Korean	Glioblastoma	not available	cell	NCI-SNU-466; SNU466	curated
SNU-478	SNU-478	CVCL_5065	not available	Homo Sapiens	Biliary Tract	Ampulla of vater; Pancreas	not available	not available	not available	Korean	Ampulla of vater adenocarcinoma	not available	cell	SNU478; NCI-SNU-478	curated
SNU-489	SNU-489	CVCL_5069	not available	Homo Sapiens	Brain	Brain	54Y	Adult	Male	Korean	Glioblastoma	not available	cell	SNU489; NCI-SNU-489	curated
SNU-503	SNU-503	CVCL_5071	not available	Homo Sapiens	Large Intestine	Abdominal wall	52Y	Adult	Male	Korean	Colorectal carcinoma	not available	cell	NCI-SNU-503; SNU503	curated
SNU-520	SNU-520	CVCL_5072	not available	Homo Sapiens	Stomach	Stomach	60Y	Adult	Female	Korean	Gastric adenocarcinoma	not available	cell	NCI-SNU-520; SNU520	curated
SNU-61	SNU-61	CVCL_5078	not available	Homo Sapiens	Colon	Liver	48Y	Adult	Male	Korean	Colorectal carcinoma	not available	cell	SNU61; NCI-SNU-61	curated
SNU-620	SNU-620	CVCL_5079	SNU-620 cell	Homo Sapiens	Stomach	Ascites	59Y	Adult	Female	Korean	Gastric adenocarcinoma	not available	cell	SNU620; NCI-SNU-620	curated
SNU-626	SNU-626	CVCL_5080	not available	Homo Sapiens	Brain	Brain	65Y	Elderly	Male	Korean	Glioblastoma	not available	cell	SNU626; NCI-SNU-626	curated
SNU-668	SNU-668	CVCL_5081	not available	Homo Sapiens	Stomach	Ascites	63Y	Adult	Male	Korean	Gastric signet ring cell adenocarcinoma	not available	cell	SNU668; NCI-SNU-668	curated
SNU-685	SNU-685	CVCL_5083	not available	Homo Sapiens	Uterus	Endometrium	70Y	Elderly	Female	Korean	Uterine carcinosarcoma	not available	cell	SNU685; NCI-SNU-685	curated
SNU-719	SNU-719	CVCL_5086	SNU-719 cell	Homo Sapiens	Stomach	Stomach	53Y	Adult	Male	Korean	Gastric tubular adenocarcinoma	not available	cell	SNU719 CELL; NCI-SNU-719; SNU719	curated
SNU-738	SNU-738	CVCL_5087	not available	Homo Sapiens	Brain	Brain	40Y	Adult	Male	Korean	Oligodendroglioma	not available	cell	NCI-SNU-738; SNU738	curated
SNU-739	SNU-739	CVCL_5088	not available	Homo Sapiens	Liver	Liver	52Y	Adult	Male	Korean	Adult hepatocellular carcinoma	not available	cell	SNU739	curated
SNU-761	SNU-761	CVCL_5089	not available	Homo Sapiens	Liver	Liver	49Y	Adult	Male	Korean	Adult hepatocellular carcinoma	not available	cell	SNU761; NCI-SNU-761	curated
SNU-8	SNU-8	CVCL_5096	not available	Homo Sapiens	Ovary	Ascites	55Y	Adult	Female	Korean	Ovarian serous cystadenocarcinoma	not available	cell	SNU8	curated
SNU-81	SNU-81	CVCL_5098	not available	Homo Sapiens	Colon	Colon	53Y	Adult	Male	Korean	Colon adenocarcinoma	not available	cell	SNU81; NCI-SNU-81	curated
SNU-840	SNU-840	CVCL_5100	not available	Homo Sapiens	Ovary	Ovary	45Y	Adult	Female	Korean	Malignant ovarian brenner tumor	not available	cell	NCI-SNU-840; SNU840	curated
SNU-869	SNU-869	CVCL_5101	not available	Homo Sapiens	Biliary Tract	Ampulla of vater; Pancreas	not available	not available	not available	Korean	Ampulla of vater adenocarcinoma	not available	cell	SNU869	curated
SNU-878	SNU-878	CVCL_5102	not available	Homo Sapiens	Liver	Liver	54Y	Adult	Female	Korean	Adult hepatocellular carcinoma	not available	cell	NCI-SNU-878; SNU878	curated
SNU-886	SNU-886	CVCL_5103	not available	Homo Sapiens	Liver	Liver	57Y	Adult	Male	Korean	Adult hepatocellular carcinoma	not available	cell	SNU886; NCI-SNU-886	curated
SNU-899	SNU-899	CVCL_5105	SNU-899 cell	Homo Sapiens	Head and Neck	Larynx (glottic); Larynx	56Y	Adult	Male	Korean	Laryngeal squamous cell carcinoma	not available	cell	NCI-SNU-899; SNU899; SNU 899 CELL; SNU899 CELL	curated
SNU-C4	SNU-C4	CVCL_5111	not available	Homo Sapiens	Large Intestine	Transverse colon	35Y	Adult	Male	Korean	Colon adenocarcinoma	not available	cell	C4; SNU C4; NCI-SNU-C4; SNUC4	curated
SNU-C5	SNU-C5	CVCL_5112	not available	Homo Sapiens	Large Intestine	Cecum; Colon	77Y	Elderly	Female	Korean	Cecum adenocarcinoma	not available	cell	NCI-SNU-C5; SNU-C5/WT; SNUC5	curated
ACC-MESO-1	ACC-MESO-1	CVCL_5113	not available	Homo Sapiens	Lung	Lung; Pleura	61Y	Adult	Female	Japanese	Pleural epithelioid mesothelioma	not available	cell	MESO-1; ACCMESO1; ACC-MESO-1	curated
HCC1171	HCC1171	CVCL_5126	HCC-1171 cell	Homo Sapiens	Lung	Lung	58Y	Adult	Male	Caucasian	Lung adenocarcinoma	not available	cell	HCC 1171 CELL; HCC1171 CELL; HAMON CANCER CENTER 1171; HCC-1171	curated
HCC1195	HCC1195	CVCL_5127	not available	Homo Sapiens	Lung	Lung	47Y	Adult	Male	African American	Lung adenosquamous carcinoma	not available	cell	HCC-1195; HAMON CANCER CENTER 1195	curated
HCC1359	HCC1359	CVCL_5128	not available	Homo Sapiens	Lung	Lung	55Y	Adult	Female	African American	Lung giant cell carcinoma	not available	cell	HAMON CANCER CENTER 1359; HCC-1359	curated
HCC1833	HCC1833	CVCL_5129	HCC-1833 cell	Homo Sapiens	Lung	Lung	69Y	Elderly	not available	not available	Lung adenocarcinoma	not available	cell	HCC-1833; HCC1833 CELL; HAMON CANCER CENTER 1833	curated
HCC2279	HCC2279	CVCL_5131	HCC-2279 cell	Homo Sapiens	Lung	Lung	52Y	Adult	Female	Asian	Lung adenosquamous carcinoma	not available	cell	HCC2279 CELL; HCC-2279; HAMON CANCER CENTER 2279	curated
HCC2429	HCC2429	CVCL_5132	not available	Homo Sapiens	Lung	Lung	34Y	Adult	Female	not available	Nut carcinoma; Non-small cell lung carcinoma	not available	cell	HCC-2429; HAMON CANCER CENTER 2429	curated
HCC-2450	HCC2450	CVCL_5133	not available	Homo Sapiens	Lung	Lung	52Y	Adult	Male	Caucasian	Squamous cell lung carcinoma	not available	cell	HAMON CANCER CENTER 2450; HCC-2450	curated
HCC-364	HCC364	CVCL_5134	not available	Homo Sapiens	Lung	not available	76Y	Elderly	not available	Caucasian	Lung adenocarcinoma	not available	cell	HCC-364; HAMON CANCER CENTER 364; HCC0364	curated
HCC461	HCC461	CVCL_5135	not available	Homo Sapiens	Lung	Lung	69Y	Elderly	not available	Caucasian	Lung adenocarcinoma	not available	cell	HAMON CANCER CENTER 461; HCC0461	curated
HCC515	HCC515	CVCL_5136	not available	Homo Sapiens	Lung	Lymph node	39Y	Adult	not available	Caucasian	Lung adenocarcinoma	not available	cell	HCC0515; HCC-515; HAMON CANCER CENTER 515	curated
HCC95	HCC95	CVCL_5137	HCC-95 cell	Homo Sapiens	Lung	Pleural effusion	65Y	Elderly	Male	Caucasian	Squamous cell lung carcinoma	not available	cell	HAMON CANCER CENTER 95; HCC95 CELL; HCC 95 CELL; HCC0095; HCC-95	curated
HCE-7	HCE-7	CVCL_5138	HCE-7 cell	Homo Sapiens	Esophagus	Esophagus	50Y	Adult	not available	African American	Esophageal squamous cell carcinoma	not available	cell	HCE-7 (NM); HCE7; HCE-7(NM); HCE7 CELL	curated
K029	K029	CVCL_5143	not available	Homo Sapiens	Skin	not available	not available	not available	not available	Caucasian	Cutaneous melanoma	not available	cell	K029	curated
KLM-1	KLM-1	CVCL_5146	not available	Homo Sapiens	Pancreas	Liver	not available	not available	not available	Japanese	Pancreatic ductal adenocarcinoma	not available	cell	KLM1	curated
NCI-H2077	NCI-H2077	CVCL_5157	not available	Homo Sapiens	Lung	Lymph node	58Y	Adult	Male	White	Lung adenocarcinoma	not available	cell	H-2077; H2077; NCIH2077	curated
NCI-H2882	NCI-H2882	CVCL_5158	not available	Homo Sapiens	Lung	Pleural effusion	61Y	Adult	Female	not available	Squamous cell lung carcinoma	not available	cell	H2882; H-2882; NCIH2882	curated
NCI-H2887	NCI-H2887	CVCL_5159	not available	Homo Sapiens	Lung	Lung	31Y	Adult	not available	not available	Squamous cell lung carcinoma	not available	cell	H-2887; H2887; NCIH2887	curated
NCI-H3122	NCI-H3122	CVCL_5160	not available	Homo Sapiens	Lung	Pleural effusion	54Y	Adult	Male	Caucasian	Lung adenocarcinoma	not available	cell	H-3122; H3122; NCIH3122	curated
SH-10-TC	SH-10-TC	CVCL_5167	not available	Homo Sapiens	Stomach	Stomach	not available	not available	not available	Japanese	Gastric mucinous adenocarcinoma	not available	cell	SH-10; SH10TC	curated
UT-7-EPO	UT-7/Epo	CVCL_5202	not available	Homo Sapiens	Bone Marrow	Bone marrow	64Y	Adult	Male	Japanese	Adult acute megakaryoblastic leukemia	not available	cell	UT-7/EPO; UT7-EPO; UT-7-EPO	curated
UT-7-GM	UT-7/GM	CVCL_5203	not available	Homo Sapiens	Bone Marrow	Bone marrow	64Y	Adult	Male	Japanese	Adult acute megakaryoblastic leukemia	not available	cell	UT7-GM; UT-7-GM	curated
UT-7-TPO	UT-7/TPO	CVCL_5204	not available	Homo Sapiens	Bone Marrow	Bone marrow	64Y	Adult	Male	Japanese	Adult acute megakaryoblastic leukemia	not available	cell	UT7-TPO; UT-7-TPO	curated
INA-6	INA-6	CVCL_5209	INA-6 cell	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	80Y	Elderly	not available	Caucasian	Plasma cell myeloma	not available	cell	INA6	curated
OPM-1	OPM-1	CVCL_5210	not available	Homo Sapiens	Blood	Peripheral blood	56Y	Adult	Female	Japanese	Plasma cell myeloma	not available	cell	OPM1	curated
OCI-AML-4	OCI-AML-4	CVCL_5224	not available	Homo Sapiens	not available	Peripheral blood	35Y	Adult	Female	not available	Adult acute myeloid leukemia	not available	cell	OCI/AML-4; OCI AML4; OCIAML4; OCI/AML4; ONTARIO CANCER INSTITUTE-ACUTE MYELOID LEUKEMIA-4; OCI-AML4	curated
1205Lu	1205Lu	CVCL_5239	1205-Lu cell	Homo Sapiens	Skin	Skin	37Y	Adult	Male	Caucasian	Cutaneous melanoma	not available	cell	WM-1205LU; LU1205; 1205-LU; WM 1205LU; WC00058; 1205LU CELL; WM1205; WM1205LU; 1205 LU CELL; 1205 LU	curated
C10	C10	CVCL_5245	not available	Homo Sapiens	Large Intestine	Descending; Colon	71Y	Elderly	Male	not available	Colon adenocarcinoma	not available	cell	C10	curated
C75	C75	CVCL_5248	not available	Homo Sapiens	Large Intestine	Sigmoid; Colon	56Y	Adult	Male	not available	Colon adenocarcinoma	not available	cell	C75	curated
C80	C80	CVCL_5249	not available	Homo Sapiens	Large Intestine	Rectum	69Y	Elderly	Male	not available	Colorectal carcinoma	not available	cell	C80	curated
C84	C84	CVCL_5250	not available	Homo Sapiens	Large Intestine	Caecum	67Y	Elderly	Male	not available	Cecum adenocarcinoma	not available	cell	C84	curated
